STATE_ID	COUNTY_ID	STATE	COUNTY	FIPS	FIPS_LONG
01	001	Alabama	Autauga County	01001	001001
01	003	Alabama	Baldwin County	01003	001003
01	005	Alabama	Barbour County	01005	001005
01	007	Alabama	Bibb County	01007	001007
01	009	Alabama	Blount County	01009	001009
01	011	Alabama	Bullock County	01011	001011
01	013	Alabama	Butler County	01013	001013
01	015	Alabama	Calhoun County	01015	001015
01	017	Alabama	Chambers County	01017	001017
01	019	Alabama	Cherokee County	01019	001019
01	021	Alabama	Chilton County	01021	001021
01	023	Alabama	Choctaw County	01023	001023
01	025	Alabama	Clarke County	01025	001025
01	027	Alabama	Clay County	01027	001027
01	029	Alabama	Cleburne County	01029	001029
01	031	Alabama	Coffee County	01031	001031
01	033	Alabama	Colbert County	01033	001033
01	035	Alabama	Conecuh County	01035	001035
01	037	Alabama	Coosa County	01037	001037
01	039	Alabama	Covington County	01039	001039
01	041	Alabama	Crenshaw County	01041	001041
01	043	Alabama	Cullman County	01043	001043
01	045	Alabama	Dale County	01045	001045
01	047	Alabama	Dallas County	01047	001047
01	049	Alabama	DeKalb County	01049	001049
01	051	Alabama	Elmore County	01051	001051
01	053	Alabama	Escambia County	01053	001053
01	055	Alabama	Etowah County	01055	001055
01	057	Alabama	Fayette County	01057	001057
01	059	Alabama	Franklin County	01059	001059
01	061	Alabama	Geneva County	01061	001061
01	063	Alabama	Greene County	01063	001063
01	065	Alabama	Hale County	01065	001065
01	067	Alabama	Henry County	01067	001067
01	069	Alabama	Houston County	01069	001069
01	071	Alabama	Jackson County	01071	001071
01	073	Alabama	Jefferson County	01073	001073
01	075	Alabama	Lamar County	01075	001075
01	077	Alabama	Lauderdale County	01077	001077
01	079	Alabama	Lawrence County	01079	001079
01	081	Alabama	Lee County	01081	001081
01	083	Alabama	Limestone County	01083	001083
01	085	Alabama	Lowndes County	01085	001085
01	087	Alabama	Macon County	01087	001087
01	089	Alabama	Madison County	01089	001089
01	091	Alabama	Marengo County	01091	001091
01	093	Alabama	Marion County	01093	001093
01	095	Alabama	Marshall County	01095	001095
01	097	Alabama	Mobile County	01097	001097
01	099	Alabama	Monroe County	01099	001099
01	101	Alabama	Montgomery County	01101	001101
01	103	Alabama	Morgan County	01103	001103
01	105	Alabama	Perry County	01105	001105
01	107	Alabama	Pickens County	01107	001107
01	109	Alabama	Pike County	01109	001109
01	111	Alabama	Randolph County	01111	001111
01	113	Alabama	Russell County	01113	001113
01	115	Alabama	St. Clair County	01115	001115
01	117	Alabama	Shelby County	01117	001117
01	119	Alabama	Sumter County	01119	001119
01	121	Alabama	Talladega County	01121	001121
01	123	Alabama	Tallapoosa County	01123	001123
01	125	Alabama	Tuscaloosa County	01125	001125
01	127	Alabama	Walker County	01127	001127
01	129	Alabama	Washington County	01129	001129
01	131	Alabama	Wilcox County	01131	001131
01	133	Alabama	Winston County	01133	001133
02	013	Alaska	Aleutians East Borough	02013	002013
