county_short,state_id,county_id,state,county,fips,fips_long,state_abbr,zone,lat,lng,ne_lat,ne_lng,sw_lat,sw_lng
Autauga,01,001,Alabama,Autauga County,01001,001001,AL,Central Time (US & Canada),32.5349,-86.6428,32.708213,-86.4111719,32.3075739,-86.9212369
Baldwin,01,003,Alabama,Baldwin County,01003,001003,AL,Central Time (US & Canada),30.9471,-87.7615,31.319017,-87.3866281,30.221516,-88.02907429999999
Barbour,01,005,Alabama,Barbour County,01005,001005,AL,Central Time (US & Canada),31.8696,-85.3932,32.148251,-85.0549585,31.617565,-85.7484329
Bibb,01,007,Alabama,Bibb County,01007,001007,AL,Central Time (US & Canada),32.9986,-87.1264,33.246926,-86.8760229,32.831522,-87.421989
Blount,01,009,Alabama,Blount County,01009,001009,AL,Central Time (US & Canada),33.9809,-86.5674,34.260483,-86.3034979,33.7651709,-86.963358
Bullock,01,011,Alabama,Bullock County,01011,001011,AL,Central Time (US & Canada),32.1005,-85.7161,32.305289,-85.4100419,31.88027499999999,-85.999258
Butler,01,013,Alabama,Butler County,01013,001013,AL,Central Time (US & Canada),31.7524,-86.6803,32.126492,-88.183453,32.0678349,-88.255465
Calhoun,01,015,Alabama,Calhoun County,01015,001015,AL,Central Time (US & Canada),33.7714,-85.8261,33.96846,-85.529432,33.5559299,-86.14522029999999
Chambers,01,017,Alabama,Chambers County,01017,001017,AL,Central Time (US & Canada),32.9144,-85.392,33.109038,-85.1221889,32.72853,-85.5936529
Cherokee,01,019,Alabama,Cherokee County,01019,001019,AL,Central Time (US & Canada),34.176,-85.6038,34.7714689,-87.953328,34.745401,-87.9841989
Chilton,01,021,Alabama,Chilton County,01021,001021,AL,Central Time (US & Canada),32.8479,-86.7188,33.07188,-86.373994,32.660117,-87.0191569
Choctaw,01,023,Alabama,Choctaw County,01023,001023,AL,Central Time (US & Canada),32.0192,-88.2628,32.3105525,-87.9289045,31.697881,-88.473227
Clarke,01,025,Alabama,Clarke County,01025,001025,AL,Central Time (US & Canada),31.6709,-87.8309,31.991355,-87.50093,31.185486,-88.1799583
Clay,01,027,Alabama,Clay County,01027,001027,AL,Central Time (US & Canada),33.2691,-85.8605,33.754782,-86.542568,33.644356,-86.664839
Cleburne,01,029,Alabama,Cleburne County,01029,001029,AL,Central Time (US & Canada),33.6745,-85.5188,33.9642039,-85.304439,33.469226,-85.88778200000002
Coffee,01,031,Alabama,Coffee County,01031,001031,AL,Central Time (US & Canada),31.4026,-85.9882,31.619311,-85.7891389,31.182023,-86.196365
Colbert,01,033,Alabama,Colbert County,01033,001033,AL,Central Time (US & Canada),34.7005,-87.8049,34.9012256,-87.4160079,34.56623,-88.139988
Conecuh,01,035,Alabama,Conecuh County,01035,001035,AL,Central Time (US & Canada),31.4293,-86.9936,31.7530349,-86.662082,31.181133,-87.427516
Coosa,01,037,Alabama,Coosa County,01037,001037,AL,Central Time (US & Canada),32.9362,-86.2476,33.1047019,-85.999748,32.753434,-86.5181583
Covington,01,039,Alabama,Covington County,01039,001039,AL,Central Time (US & Canada),31.2485,-86.4512,31.529623,-86.186876,30.993258,-86.7027909
Crenshaw,01,041,Alabama,Crenshaw County,01041,001041,AL,Central Time (US & Canada),31.7315,-86.3136,32.05171,-86.1439499,31.440072,-86.50394800000001
Cullman,01,043,Alabama,Cullman County,01043,001043,AL,Central Time (US & Canada),34.132,-86.8676,34.25071,-86.776552,34.0996929,-86.9007269
Dale,01,045,Alabama,Dale County,01045,001045,AL,Central Time (US & Canada),31.4318,-85.611,31.620566,-85.415334,31.195179,-85.7915809
Dallas,01,047,Alabama,Dallas County,01047,001047,AL,Central Time (US & Canada),32.3258,-87.1065,32.729532,-86.806867,32.047202,-87.47308
DeKalb,01,049,Alabama,DeKalb County,01049,001049,AL,Central Time (US & Canada),34.4598,-85.8041,34.860371,-85.513612,34.199262,-86.118911
Elmore,01,051,Alabama,Elmore County,01051,001051,AL,Central Time (US & Canada),32.5966,-86.1492,32.5658,-86.300308,32.519632,-86.34779999999999
Escambia,01,053,Alabama,Escambia County,01053,001053,AL,Central Time (US & Canada),31.1262,-87.1616,31.261997,-86.688063,30.994487,-87.61607400000001
Etowah,01,055,Alabama,Etowah County,01055,001055,AL,Central Time (US & Canada),34.0453,-86.0348,34.200756,-85.737138,33.841598,-86.3696209
Fayette,01,057,Alabama,Fayette County,01057,001057,AL,Central Time (US & Canada),33.7212,-87.7389,33.7327499,-87.8066379,33.6545039,-87.8551009
Franklin,01,059,Alabama,Franklin County,01059,001059,AL,Central Time (US & Canada),34.4417,-87.8438,32.4792239,-85.7852839,32.435434,-85.82699900000001
Geneva,01,061,Alabama,Geneva County,01061,001061,AL,Central Time (US & Canada),31.095,-85.839,31.087048,-85.839719,31.002001,-85.917436
Greene,01,063,Alabama,Greene County,01063,001063,AL,Central Time (US & Canada),32.8531,-87.9522,33.1536569,-87.706271,32.517727,-88.2064197
Hale,01,065,Alabama,Hale County,01065,001065,AL,Central Time (US & Canada),32.7627,-87.6291,33.006824,-87.420132,32.48068,-87.86974909999999
Henry,01,067,Alabama,Henry County,01067,001067,AL,Central Time (US & Canada),31.5147,-85.2414,31.774364,-85.041305,31.307675,-85.4180349
Houston,01,069,Alabama,Houston County,01069,001069,AL,Central Time (US & Canada),31.1532,-85.3025,31.314973,-84.999428,30.997064,-85.712436
Jackson,01,071,Alabama,Jackson County,01071,001071,AL,Central Time (US & Canada),34.7794,-85.9993,31.582973,-87.853652,31.491672,-87.921931
Jefferson,01,073,Alabama,Jefferson County,01073,001073,AL,Central Time (US & Canada),33.5543,-86.8965,33.843237,-86.516662,33.245995,-87.3393409
Lamar,01,075,Alabama,Lamar County,01075,001075,AL,Central Time (US & Canada),33.7792,-88.0969,34.058333,-87.946305,33.523987,-88.274619
Lauderdale,01,077,Alabama,Lauderdale County,01077,001077,AL,Central Time (US & Canada),34.9015,-87.6544,35.007889,-87.210759,34.7334388,-88.1930557
Lawrence,01,079,Alabama,Lawrence County,01079,001079,AL,Central Time (US & Canada),34.522,-87.311,34.79946899999999,-87.1052496,34.299096,-87.531024
